Dispositivo,N,Tiempo(ms),Potencia_Avg(W),Energia(J),EDP(J*s),GFLOPS,Muestras_Potencia
cpu,16384,0.049,16.388880583391398,0.0008030551485861786,3.9349702280722755e-08,23.38,10
cpu,65536,0.25,18.23988295753805,0.004559970739384513,1.1399926848461281e-06,20.97,33
cpu,262144,1.274,18.403170735883947,0.02344563951751615,2.9869744745315573e-05,18.52,132
cpu,1048576,12.515,15.609420791077335,0.19535190120033286,0.002444829043522166,8.38,92
cpu,4194304,55.694,15.274038874701082,0.850672321087602,0.04737734425065291,8.28,382
cpu,16777216,230.413,15.826301766595824,3.646585668946644,0.840220743739003,8.74,1385
gpu,16384,0.008,10.3705,8.2964e-05,6.63712e-10,138.27,4
gpu,65536,0.013,15.6815,0.00020385949999999998,2.6501734999999996e-09,409.6,4
gpu,262144,0.052,19.36225,0.001006837,5.2355523999999996e-08,450.88,4
gpu,1048576,0.246,20.0824,0.0049402704,1.2153065184e-06,425.96,5
gpu,4194304,1.182,21.448666666666668,0.025352324,2.9966446967999997e-05,390.23,6
gpu,16777216,4.679,16.31822222222222,0.07635296177777777,0.00035725550815822216,430.27,9
